feb_Leads_2024,mar_Leads_2024,abr_Leads_24,may_Leads_24,jun_Leads_24,jul_Leads_24,ago_Leads_24,sep_Leads_24,oct_Leads_24,nov_Leads_24,dic_Leads_24,ene_Leads_25,feb_Leads_25,mar_Leads_25,abr_Leads_25,Total ,Total Ajustado,Raking ,Raking ajustado,feb_Ventas_24,mar_Ventas_24,abr_Ventas_24,may_Ventas_24,jun_Ventas_24,jul_Ventas_24,ago_Ventas_24,sep_Ventas_24,oct_Ventas_24,nov_Ventas_24,dic_Ventas_24,ene_Ventas_25,feb_Ventas_25,mar_Ventas_25,abr_Ventas_25,may_Ventas_25,jun_Ventas_25,Leads Prom X Mes,T. Ventas Piso ,Factor   ,Total de Ventas Historicas ,RAKING VENTAS,Dependencia de Piso ,Historico de PDM,Historico de SDC,Conversion PDM,Conversion SDC,Factor  PDM,Factor  SDC,Raking PDM,Raking SDC
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.9,1.4,9.0,6.0,0.0,0,47.0,45.0,11,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,8,5.0,0.11,12.0,9,0.42,36.0,25,0.33,0.02,3.0,2.08,6,9
0.0,0.0,10.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,22.0,0.0,18,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,1.0,23,0.0,19.0,5,0.05,0.0,2.7,5.0,23,20
2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,3.0,27,21,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,5.0,0.56,0.0,0,0.0,7.0,5,0.0,0.0,0.0,0.0,0,0
0.0,0.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,0.0,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0,0.0,8.0,7,0.0,0.0,0.0,0.0,0,0
1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,6.0,4.0,30,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,19,0.0,25.0,22,0.08,0.0,12.5,11.0,22,26
2.0,1.0,4.0,1.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,18.0,10.0,22,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,11.0,10,0.0,17.0,11,0.65,0.0,1.55,1.0,3,1
0.0,0.0,1.0,1.0,4.0,12.0,0.9,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0,63.0,57.0,7,4,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,7.0,0.11,25.0,3,0.28,34.0,61,0.74,0.0,1.36,2.44,2,12
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,114.0,0.0,3,28,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.02,2.0,19,1.0,18.0,6,0.11,0.17,9.0,3.0,20,15
0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8.0,8.0,28,16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1.0,0.13,1.0,23,1.0,5.0,2,0.2,0.0,5.0,2.0,17,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,36,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0,0.0,4.0,8,0.0,0.0,0.0,0.0,0,0
